Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Expn_Date,Amount,Cum_YTD,Expn_ChkNo,Expn_Code,Expn_Dscr,Agent_NamL,Agent_NamF,Agent_NamT,Agent_NamS,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Cand_NamL,Cand_NamF,Cand_NamT,Cand_NamS,Office_Cd,Offic_Dscr,Juris_Cd,Juris_Dscr,Dist_No,Off_S_H_Cd,Bal_Name,Bal_Num,Bal_Juris,Sup_Opp_Cd,Memo_Code,Memo_RefNo,BakRef_TID,G_From_E_F,XRef_SchNm,XRef_Match
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2918,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,2702.11,457775.38,,,IND OF CMP; SEE SCHEDULE G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2920,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,2702.11,457775.38,,,IND OF CMP; SEE SCHEDULE G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2922,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,2702.11,457775.38,,,IND OF CMP; SEE SCHEDULE G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2924,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,10000,457775.38,,,IND OF CANVASSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2926,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,11212.51,457775.38,,,IND OF LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2928,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,10400,457775.38,,,IND OF LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2930,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,1939.2,457775.38,,,IND OF LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2932,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,8385.01,457775.38,,,IND OF LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2934,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,11180.01,457775.38,,,IND OF LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331137,"FAMILIES AND EDUCATORS FOR PUBLIC EDUCATION, SPONSORED BY GO PUBLIC SCHOOLS ADVOCATES",002,RCP,2017-12-21,2016-10-23,2016-12-31,,,,EXPN,E,EXP2938,OTH,50+1 STRATEGIES,,,,,,SAN FRANCISCO,CA,94104,2016-11-11,10400,457775.38,,,IND OF LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
